
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0293                          U1                                 2   1      1   1   1 94         94 0 XSIG011235          (93-4-13)
40-0293                          U1                                 2   1      2   2   1 36         36 0 XSIG011236          (93-5-13)
40-0293                          U1                                 2   1      3   3   1 90         90 0 SPI_F72MAX_MISO     (20-11-13)
40-0293                          U1                                 2   1      4   4   1 76         76 0 SWCLK               (20-3-13)
40-0293                          U1                                 2   1      5   5   1 77         77 0 SPI_F72MAX_NSS      (20-17-13)
40-0293                          U1                                 2   1      6   6   1 89         89 0 SPI_F72MAX_SCK      (20-10-13)
40-0293                          U1                                 2   1      7   7   1 72         72 0 SWDIO               (20-4-13)
40-0293                          U1                                 2   1      8   8   1 22         22 0 PHY_RSTn            (330-9-13)
40-0293                          U1                                 2   1      9   9   1 23         23 0 RMII_REF_CLK        (20-22-13)
40-0293                          U1                                 2   1     10  10   1 24         24 0 ETH_MDIO            (20-27-13)
40-0293                          U1                                 2   1     11  11   1 25         25 0                     (0-0-0)
40-0293                          U1                                 2   1     12  12   1 28         28 0 GALVA_X             (20-18-13)
40-0293                          U1                                 2   1     13  13   1 29         29 0 GALVA_Y             (20-19-13)
40-0293                          U1                                 2   1     14  14   1 30         30 0                     (0-0-0)
40-0293                          U1                                 2   1     15  15   1 31         31 0 RMII_CRS_DV         (20-23-13)
40-0293                          U1                                 2   1     16  16   1 67         67 0                     (0-0-0)
40-0293                          U1                                 2   1     17  17   1 68         68 0                     (0-0-0)
40-0293                          U1                                 2   1     18  18   1 69         69 0                     (0-0-0)
40-0293                          U1                                 2   1     19  19   1 70         70 0 SPI_F72F1_NSS       (20-20-13)
40-0293                          U1                                 2   1     20  20   1 71         71 0 SPI_F72F1_SCK       (20-21-13)
40-0293                          U1                                 2   1     21  21   1 34         34 0 AUDIO_L             (216-3-13)
40-0293                          U1                                 2   1     22  22   1 35         35 0 AUDIO_R             (216-2-13)
40-0293                          U1                                 2   1     23  23   1 91         91 0 SPI_F72MAX_MOSI     (20-12-13)
40-0293                          U1                                 2   1     24  24   1 92         92 0                     (0-0-0)
40-0293                          U1                                 2   1     25  25   1 93         93 0                     (0-0-0)
40-0293                          U1                                 2   1     26  26   1 95         95 0                     (0-0-0)
40-0293                          U1                                 2   1     27  27   1 96         96 0                     (0-0-0)
40-0293                          U1                                 2   1     28  28   1 46         46 0                     (0-0-0)
40-0293                          U1                                 2   1     29  29   1 47         47 0 RMII_TX_EN          (20-26-13)
40-0293                          U1                                 2   1     30  30   1 51         51 0 RMII_TX_D0          (330-1-13)
40-0293                          U1                                 2   1     31  31   1 52         52 0 RMII_TX_D1          (330-2-13)
40-0293                          U1                                 2   1     32  32   1 53         53 0 SPI_F72F1_MISO      (20-15-13)
40-0293                          U1                                 2   1     33  33   1 54         54 0 SPI_F72F1_MOSI      (20-16-13)
40-0293                          U1                                 2   1     34  34   1 15         15 0                     (0-0-0)
40-0293                          U1                                 2   1     35  35   1 16         16 0 ETH_MDC             (20-28-13)
40-0293                          U1                                 2   1     36  36   1 17         17 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0293                          U1                                 2   1     37  37   1 18         18 0                     (0-0-0)
40-0293                          U1                                 2   1     38  38   1 32         32 0 RMII_RX_D0          (330-19-13)
40-0293                          U1                                 2   1     39  39   1 33         33 0 RMII_RX_D1          (330-8-13)
40-0293                          U1                                 2   1     40  40   1 63         63 0                     (0-0-0)
40-0293                          U1                                 2   1     41  41   1 64         64 0                     (0-0-0)
40-0293                          U1                                 2   1     42  42   1 65         65 0 SD_D0               (20-39-13)
40-0293                          U1                                 2   1     43  43   1 66         66 0 SD_D1               (20-40-13)
40-0293                          U1                                 2   1     44  44   1 78         78 0 SD_D2               (20-35-13)
40-0293                          U1                                 2   1     45  45   1 79         79 0 SD_D3               (20-36-13)
40-0293                          U1                                 2   1     46  46   1 80         80 0 SD_CK               (20-37-13)
40-0293                          U1                                 2   1     47  47   1 7           7 0                     (0-0-0)
40-0293                          U1                                 2   1     48  48   1 8           8 0                     (0-0-0)
40-0293                          U1                                 2   1     49  49   1 9           9 0                     (0-0-0)
40-0293                          U1                                 2   1     50  50   1 12         12 0 XSIG011191          (20-32-13)
40-0293                          U1                                 2   1     51  51   1 13         13 0 XSIG011193          (20-33-13)
40-0293                          U1                                 2   1     52  52   1 14         14 0 F7RSTn              (227-1-13)
40-0293                          U1                                 2   1     53  53   1 6           6 0 VCC                 (20-2-13)
40-0293                          U1                                 2   1     54  54   1 48         48 0 XSIG011226          (93-3-13)
40-0293                          U1                                 2   1     55  55   1 73         73 0 XSIG011225          (93-2-13)
40-0293                          U1                                 2   1     56  56   1 21         21 0 XSIG011257          (340-1-13)
40-0293                          U1                                 2   1     57  57   1 20         20 0 VCC                 (20-2-13)
40-0293                          U1                                 2   2      1   1   2 100       100 0 VCC                 (20-2-13)
40-0293                          U1                                 2   2      1   1   3 75         75 0 VCC                 (20-2-13)
40-0293                          U1                                 2   2      1   1   4 50         50 0 VCC                 (20-2-13)
40-0293                          U1                                 2   2      1   1   5 27         27 0 VCC                 (20-2-13)
40-0293                          U1                                 2   2      1   1   6 11         11 0 VCC                 (20-2-13)
40-0293                          U1                                 2   3      1   1   7 99         99 0 GND                 (20-1-13)
40-0293                          U1                                 2   3      1   1   8 74         74 0 GND                 (20-1-13)
40-0293                          U1                                 2   3      1   1   9 26         26 0 GND                 (20-1-13)
40-0293                          U1                                 2   3      1   1  10 10         10 0 GND                 (20-1-13)
40-0293                          U1                                 2   3      1   1  11 49         49 0 GND                 (20-1-13)
40-0293                          U1                                 2   3      1   1  12 19         19 0 GND                 (20-1-13)
40-0293                          U1                                 3   4      1   1  13 81         81 0 UART_ESP2F7         (20-99-13)
40-0293                          U1                                 3   4      2   2  13 82         82 0 UART_F72ESP         (20-100-13)
40-0293                          U1                                 3   4      3   3  13 83         83 0 SD_CMD              (20-38-13)
40-0293                          U1                                 3   4      4   4  13 84         84 0                     (0-0-0)
40-0293                          U1                                 3   4      5   5  13 85         85 0                     (0-0-0)
40-0293                          U1                                 3   4      6   6  13 86         86 0                     (0-0-0)
40-0293                          U1                                 3   4      7   7  13 87         87 0                     (0-0-0)
40-0293                          U1                                 3   4      8   8  13 88         88 0                     (0-0-0)
40-0293                          U1                                 3   4      9   9  13 55         55 0                     (0-0-0)
40-0293                          U1                                 3   4     10  10  13 56         56 0                     (0-0-0)
40-0293                          U1                                 3   4     11  11  13 57         57 0                     (0-0-0)
40-0293                          U1                                 3   4     12  12  13 58         58 0                     (0-0-0)
40-0293                          U1                                 3   4     13  13  13 59         59 0                     (0-0-0)
40-0293                          U1                                 3   4     14  14  13 60         60 0                     (0-0-0)
40-0293                          U1                                 3   4     15  15  13 61         61 0                     (0-0-0)
40-0293                          U1                                 3   4     16  16  13 62         62 0                     (0-0-0)
40-0293                          U1                                 3   4     17  17  13 97         97 0                     (0-0-0)
40-0293                          U1                                 3   4     18  18  13 98         98 0                     (0-0-0)
40-0293                          U1                                 3   4     19  19  13 1           1 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
